id,text,label
1,Online booking at hotel,0
2,Large withdrawal flagged by fraud system,1
3,Transfer between own accounts,0
4,Payment for monthly gym membership,0
5,Payment for monthly gym membership,0
6,Restaurant bill paid with credit card,0
7,Large withdrawal flagged by fraud system,1
8,Automatic payment for streaming subscription,0
9,Unauthorized change of account details,1
10,E-commerce purchase with stolen card,1
11,Online purchase from high-risk website,1
12,Automatic payment for streaming subscription,0
13,Deposit into checking account,0
14,Suspicious transfer to new beneficiary,1
15,Customer reported a suspicious high-value transaction,1
16,Deposit into checking account,0
17,Credit card limit increase request,0
18,Large withdrawal flagged by fraud system,1
19,Online booking at hotel,0
20,Suspicious transfer to new beneficiary,1
21,Bank transfer to unregistered account,1
22,Bank transfer to unregistered account,1
23,Deposit into checking account,0
24,Unusual transfer during nighttime hours,1
25,Authorized ATM withdrawal,0
26,Payment of internet service provider bill,0
27,Car loan installment payment,0
28,E-commerce purchase with stolen card,1
29,Automatic payment for streaming subscription,0
30,Deposit into checking account,0
31,Large withdrawal flagged by fraud system,1
32,Salary payment credited to account,0
33,Payment for monthly gym membership,0
34,Login attempt from unknown device,1
35,Restaurant bill paid with credit card,0
36,Utility bill payment,0
37,Restaurant bill paid with credit card,0
38,Large withdrawal flagged by fraud system,1
39,Authorized ATM withdrawal,0
40,Car loan installment payment,0
41,Transfer between own accounts,0
42,Attempted purchase from blacklisted website,1
43,Bank transfer to unregistered account,1
44,Car loan installment payment,0
45,Credit card limit increase request,0
46,E-commerce purchase with stolen card,1
47,Unauthorized change of account details,1
48,Deposit into checking account,0
49,Online booking at hotel,0
50,Unrecognized international transfer,1
51,E-commerce purchase with stolen card,1
52,Salary payment credited to account,0
53,Transfer between own accounts,0
54,Salary payment credited to account,0
55,Restaurant bill paid with credit card,0
56,Transfer between own accounts,0
57,Phishing-related unauthorized charge,1
58,Purchase made at local supermarket,0
59,Insurance premium auto-debit,0
60,Phishing-related unauthorized charge,1
61,Attempted purchase from blacklisted website,1
62,Utility bill payment,0
63,Salary payment credited to account,0
64,Car loan installment payment,0
65,Phishing-related unauthorized charge,1
66,Login attempt from unknown device,1
67,Insurance premium auto-debit,0
68,Deposit into checking account,0
69,Unusual transfer during nighttime hours,1
70,Unrecognized international transfer,1
71,Unauthorized change of account details,1
72,Large withdrawal flagged by fraud system,1
73,Transfer between own accounts,0
74,Multiple failed login attempts detected,1
75,Suspicious transfer to new beneficiary,1
76,Suspicious transfer to new beneficiary,1
77,Mobile recharge via app,0
78,Suspicious overseas login attempt,1
79,Salary payment credited to account,0
80,Payment of internet service provider bill,0
81,Suspicious transfer to new beneficiary,1
82,Login attempt from unknown device,1
83,Restaurant bill paid with credit card,0
84,Phishing-related unauthorized charge,1
85,Purchase made at local supermarket,0
86,Purchase made at local supermarket,0
87,Suspicious transfer to new beneficiary,1
88,Salary payment credited to account,0
89,Utility bill payment,0
90,Transfer between own accounts,0
91,Salary payment credited to account,0
92,Attempted purchase from blacklisted website,1
93,Restaurant bill paid with credit card,0
94,Phishing-related unauthorized charge,1
95,Bank transfer to unregistered account,1
96,Phishing-related unauthorized charge,1
97,Payment for monthly gym membership,0
98,E-commerce purchase with stolen card,1
99,Online purchase from high-risk website,1
100,Suspicious overseas login attempt,1
